Postcode;Plaatsnaam
1851;Humbeek
1852;Beigem
1853;Strombeek-Bever
1860;MEISE
1861;Wolvertem
1880;KAPELLE-OP-DEN-BOS
1880;Nieuwenrode
1880;Ramsdonk
1910;Berg
1910;Buken
1910;KAMPENHOUT
1910;Nederokkerzeel
1930;Nossegem
1930;ZAVENTEM
1931;Brucargo
1932;Sint-Stevens-Woluwe
1933;Sterrebeek
1934;Office Exchange Brussels Airport Remailing
1935;CORPORATE VILLAGE
1950;KRAAINEM
1970;WEZEMBEEK-OPPEM
1980;Eppegem
1980;ZEMST
1981;Hofstade
1982;Elewijt
1982;Weerde
2000;ANTWERPEN
2018;ANTWERPEN
2020;ANTWERPEN
2030;ANTWERPEN
2040;ANTWERPEN
2040;Berendrecht
2040;Lillo
2040;Zandvliet
2050;ANTWERPEN
2060;ANTWERPEN
2070;Burcht
2070;ZWIJNDRECHT
2099;Antwerpen X
2100;Deurne
2110;WIJNEGEM
2140;Borgerhout
2150;BORSBEEK
2160;WOMMELGEM
2170;Merksem
2180;Ekeren
2200;HERENTALS
2200;Morkhoven
2200;Noorderwijk
2220;Hallaar
2220;HEIST-OP-DEN-BERG
2221;Booischot
2222;Itegem
2222;Wiekevorst
2223;Schriek
2230;HERSELT
2230;Ramsel
2235;Houtvenne
2235;HULSHOUT
2235;Westmeerbeek
2240;Massenhoven
2240;Viersel
2240;ZANDHOVEN
2242;Pulderbos
2243;Pulle
2250;OLEN
2260;Oevel
2260;Tongerlo
2260;WESTERLO
2260;Zoerle-Parwijs
2270;HERENTHOUT
2275;Gierle
2275;LILLE
2275;Poederlee
2275;Wechelderzande
2280;GROBBENDONK
2288;Bouwel
2290;VORSELAAR
2300;TURNHOUT
2310;RIJKEVORSEL
2320;HOOGSTRATEN
2321;Meer
2322;Minderhout
2323;Wortel
2328;Meerle
2330;MERKSPLAS
2340;BEERSE
2340;Vlimmeren
2350;VOSSELAAR
2360;OUD-TURNHOUT
2370;ARENDONK
2380;RAVELS
2381;Weelde
2382;Poppel
2387;BAARLE-HERTOG
2390;MALLE
2390;Oostmalle
2390;Westmalle
2400;MOL
2430;Eindhout
2430;Vorst
2431;Varendonk
2431;Veerle
2440;GEEL
2450;MEERHOUT
2460;KASTERLEE
2460;Lichtaart
2460;Tielen
2470;RETIE
2480;DESSEL
2490;BALEN
2491;Olmen
2500;Koningshooikt
2500;LIER
2520;Broechem
2520;Emblem
2520;Oelegem
2520;RANST
2530;BOECHOUT
2531;Vremde
2540;HOVE
2547;LINT
2550;KONTICH
2550;Waarloos
2560;Bevel
2560;Kessel
2560;NIJLEN
2570;DUFFEL
2580;Beerzel
2580;PUTTE
2590;BERLAAR
2590;Gestel
2600;Berchem
2610;Wilrijk
2620;HEMIKSEM
2627;SCHELLE
2630;AARTSELAAR
2640;MORTSEL
2650;EDEGEM
2660;Hoboken
2800;MECHELEN
2800;Walem
2801;Heffen
2811;Hombeek
2811;Leest
2812;Muizen
2820;BONHEIDEN
2820;Rijmenam
2830;Blaasveld
2830;Heindonk
2830;Tisselt
2830;WILLEBROEK
2840;Reet
2840;RUMST
2840;Terhagen
2845;NIEL
2850;BOOM
2860;SINT-KATELIJNE-WAVER
2861;Onze-Lieve-Vrouw-Waver
2870;Breendonk
2870;Liezele
2870;PUURS
2870;Ruisbroek
2880;BORNEM
2880;Hingene
2880;Mariekerke
2880;Weert
2890;Lippelo
2890;Oppuurs
2890;SINT-AMANDS
2900;SCHOTEN
2910;ESSEN
2920;KALMTHOUT
2930;BRASSCHAAT
2940;Hoevenen
2940;STABROEK
2950;KAPELLEN
2960;BRECHT
2960;Sint-Job-In-'T-Goor
2960;Sint-Lenaarts
2970;'S Gravenwezel
2970;SCHILDE
2980;Halle
2980;ZOERSEL
2990;Loenhout
2990;WUUSTWEZEL
3000;LEUVEN
3001;Heverlee
3010;Kessel Lo
3012;Wilsele
3018;Wijgmaal
3020;HERENT
3020;Veltem-Beisem
3020;Winksele
3040;HULDENBERG
3040;Loonbeek
3040;Neerijse
3040;Ottenburg
3040;Sint-Agatha-Rode
3050;OUD-HEVERLEE
3051;Sint-Joris-Weert
3052;Blanden
3053;Haasrode
3054;Vaalbeek
3060;BERTEM
3060;Korbeek-Dijle
3061;Leefdaal
3070;KORTENBERG
3071;Erps-Kwerps
3078;Everberg
3078;Meerbeek
3080;Duisburg
3080;TERVUREN
3080;Vossem
3090;OVERIJSE
3110;ROTSELAAR
3111;Wezemaal
3118;Werchter
3120;TREMELO
3128;Baal
3130;BEGIJNENDIJK
3130;Betekom
3140;KEERBERGEN
3150;HAACHT
3150;Tildonk
3150;Wespelaar
3190;BOORTMEERBEEK
3191;Hever
3200;AARSCHOT
3200;Gelrode
3201;Langdorp
3202;Rillaar
3210;Linden
3210;LUBBEEK
3211;Binkom
3212;Pellenberg
3220;HOLSBEEK
3220;Kortrijk-Dutsel
3220;Sint-Pieters-Rode
3221;Nieuwrode
3270;Scherpenheuvel
3271;Averbode
3271;Zichem
3272;Messelbroek
3272;Testelt
3290;Deurne
3290;DIEST
3290;Schaffen
3290;Webbekom
3293;Kaggevinne
3294;Molenstede
3300;Bost
3300;Goetsenhoven
3300;Hakendover
3300;Kumtich
3300;Oorbeek
3300;Oplinter
3300;Sint-Margriete-Houtem
3300;TIENEN
3300;Vissenaken
3320;HOEGAARDEN
3320;Meldert
3321;Outgaarden
3350;Drieslinter
3350;LINTER
3350;Melkwezer
3350;Neerhespen
3350;Neerlinter
3350;Orsmaal-Gussenhoven
3350;Overhespen
3350;Wommersom
3360;BIERBEEK
3360;Korbeek-Lo
3360;Lovenjoel
3360;Opvelp
3370;BOUTERSEM
3370;Kerkom
3370;Neervelp
3370;Roosbeek
3370;Vertrijk
3370;Willebringen
3380;Bunsbeek
3380;GLABBEEK
3381;Kapellen
3384;Attenrode
3390;Houwaart
3390;Sint-Joris-Winge
3390;Tielt
3391;Meensel-Kiezegem
3400;Eliksem
3400;Ezemaal
3400;Laar
3400;LANDEN
3400;Neerwinden
3400;Overwinden
3400;Rumsdorp
3400;Wange
3401;Waasmont
3401;Walsbets
3401;Walshoutem
3401;Wezeren
3404;Attenhoven
3404;Neerlanden
3440;Budingen
3440;Dormaal
3440;Halle-Booienhoven
3440;Helen-Bos
3440;ZOUTLEEUW
3450;GEETBETS
3450;Grazen
3454;Rummen
3460;Assent
3460;BEKKEVOORT
3461;Molenbeek-Wersbeek
3470;KORTENAKEN
3470;Ransberg
3470;Sint-Margriete-Houtem
3471;Hoeleden
3472;Kersbeek-Miskom
3473;Waanrode
3500;HASSELT
3500;Sint-Lambrechts-Herk
3501;Wimmertingen
3510;Kermt
3510;Spalbeek
3511;Kuringen
3511;Stokrooie
3512;Stevoort
3520;ZONHOVEN
3530;Helchteren
3530;Houthalen
3540;Berbroek
3540;Donk
3540;HERK-DE-STAD
3540;Schulen
3545;HALEN
3545;Loksbergen
3545;Zelem
3550;Heusden
3550;HEUSDEN-ZOLDER
3550;Zolder
3560;Linkhout
3560;LUMMEN
3560;Meldert
3570;ALKEN
3580;BERINGEN
3581;Beverlo
3582;Koersel
3583;Paal
3590;DIEPENBEEK
3600;GENK
3620;Gellik
3620;LANAKEN
3620;Neerharen
3620;Veldwezelt
3621;Rekem
3630;Eisden
3630;Leut
3630;MAASMECHELEN
3630;Mechelen-Aan-De-Maas
3630;Meeswijk
3630;Opgrimbie
3630;Vucht
3631;Boorsem
3631;Uikhoven
3640;Kessenich
3640;KINROOI
3640;Molenbeersel
3640;Ophoven
3650;Dilsen
3650;DILSEN-STOKKEM
3650;Elen
3650;Lanklaar
3650;Rotem
3650;Stokkem
3660;OPGLABBEEK
3665;AS
3668;Niel-Bij-As
3670;Ellikom
3670;Gruitrode
3670;Meeuwen
3670;Neerglabbeek
3670;Wijshagen
3680;MAASEIK
3680;Neeroeteren
3680;Opoeteren
3690;ZUTENDAAL
3700;'S Herenelderen
3700;Berg
3700;Diets-Heur
3700;Haren
3700;Henis
3700;Kolmont
3700;Koninksem
3700;Lauw
3700;Mal
3700;Neerrepen
3700;Nerem
3700;Overrepen
3700;Piringen
3700;Riksingen
3700;Rutten
3700;Sluizen
3700;TONGEREN
3700;Vreren
3700;Widooie
3717;HERSTAPPE
3720;KORTESSEM
3721;Vliermaalroot
3722;Wintershoven
3723;Guigoven
3724;Vliermaal
3730;HOESELT
3730;Romershoven
3730;Sint-Huibrechts-Hern
3730;Werm
3732;Schalkhoven
3740;Beverst
3740;BILZEN
3740;Eigenbilzen
3740;Grote-Spouwen
3740;Hees
3740;Kleine-Spouwen
3740;Mopertingen
3740;Munsterbilzen
3740;Rijkhoven
3740;Rosmeer
3740;Waltwilder
3742;Martenslinde
3746;Hoelbeek
3770;Genoelselderen
3770;Herderen
3770;Kanne
3770;Membruggen
3770;Millen
3770;RIEMST
3770;Val-Meer
3770;Vlijtingen
3770;Vroenhoven
3770;Zichen-Zussen-Bolder
3790;Moelingen
3790;Sint-Martens-Voeren
3791;Remersdaal
3792;Sint-Pieters-Voeren
3793;Teuven
3798;S Gravenvoeren
3800;Aalst
3800;Brustem
3800;Engelmanshoven
3800;Gelinden
3800;Groot-Gelmen
3800;Halmaal
3800;Kerkom-Bij-Sint-Truiden
3800;Ordingen
3800;SINT-TRUIDEN
3800;Zepperen
3803;Duras
3803;Gorsem
3803;Runkelen
3803;Wilderen
3806;Velm
3830;Berlingen
3830;WELLEN
3831;Herten
3832;Ulbeek
3840;Bommershoven
3840;BORGLOON
3840;Broekom
3840;Gors-Opleeuw
3840;Gotem
3840;Groot-Loon
3840;Haren
3840;Hendrieken
3840;Hoepertingen
3840;Jesseren
3840;Kerniel
3840;Kolmont
3840;Kuttekoven
3840;Rijkel
3840;Voort
3850;Binderveld
3850;Kozen
3850;NIEUWERKERKEN
3850;Wijer
3870;Batsheers
3870;Bovelingen
3870;Gutshoven
3870;HEERS
3870;Heks
3870;Horpmaal
3870;Klein-Gelmen
3870;Mechelen-Bovelingen
3870;Mettekoven
3870;Opheers
3870;Rukkelingen-Loon
3870;Vechmaal
3870;Veulen
3890;Boekhout
3890;GINGELOM
3890;Jeuk
3890;Kortijs
3890;Montenaken
3890;Niel-Bij-Sint-Truiden
3890;Vorsen
3891;Borlo
3891;Buvingen
3891;Mielen-Boven-Aalst
3891;Muizen
3900;OVERPELT
3910;NEERPELT
3910;Sint-Huibrechts-Lille
3920;LOMMEL
3930;Achel
3930;Hamont
3940;Hechtel
3941;Eksel
3945;Kwaadmechelen
3945;Oostham
3950;BOCHOLT
3950;Kaulille
3950;Reppel
3960;Beek
3960;BREE
3960;Gerdingen
3960;Opitter
3960;Tongerlo
3970;LEOPOLDSBURG
3971;Heppen
3980;TESSENDERLO
3990;Grote-Brogel
3990;Kleine-Brogel
3990;PEER
3990;Wijchmaal
4000;Glain
4000;LIÈGE
4000;Rocourt
4020;Bressoux
4020;Jupille-Sur-Meuse
4020;LIÈGE
4020;Wandre
4030;Grivegnee
4031;Angleur
4032;Chênee
4040;HERSTAL
4041;Milmort
4041;Vottem
4042;Liers
4050;CHAUDFONTAINE
4051;Vaux-Sous-Chèvremont
4052;Beaufays
4053;Embourg
4099;Liège X
4100;Boncelles
4100;SERAING
4101;Jemeppe-Sur-Meuse
4102;Ougrée
4120;Ehein
4120;Rotheux-Rimière
4121;Neuville-En-Condroz
4122;Plainevaux
4130;ESNEUX
4130;Tilff
4140;Dolembreux
4140;Gomzé-Andoumont
4140;Rouvreux
4140;SPRIMONT
4141;Louveigné
4160;ANTHISNES
4161;Villers-Aux-Tours
4162;Hody
4163;Tavier
4170;COMBLAIN-AU-PONT
4171;Poulseur
4180;Comblain-Fairon
4180;Comblain-La-Tour
4180;HAMOIR
4181;Filot
4190;FERRIÈRES
4190;My
4190;Vieuxville
4190;Werbomont
4190;Xhoris
4210;BURDINNE
4210;Hannêche
4210;Lamontzée
4210;Marneffe
4210;Oteppe
4217;HÉRON
4217;Lavoir
4217;Waret-L'Evêque
4218;Couthuin
4219;Acosse
4219;Ambresin
4219;Meeffe
4219;WASSEIGES
4250;Boëlhe
4250;GEER
4250;Hollogne-Sur-Geer
4250;Lens-Saint-Servais
4252;Omal
4253;Darion
4254;Ligney
4257;BERLOZ
4257;Corswarem
4257;Rosoux-Crenwick
4260;Avennes
4260;BRAIVES
4260;Ciplet
4260;Fallais
4260;Fumal
4260;Ville-En-Hesbaye
4261;Latinne
4263;Tourinne
4280;Abolens
4280;Avernas-Le-Bauduin
4280;Avin
4280;Bertrée
4280;Blehen
4280;Cras-Avernas
4280;Crehen
4280;Grand-Hallet
4280;HANNUT
4280;Lens-Saint-Remy
4280;Merdorp
4280;Moxhe
4280;Petit-Hallet
4280;Poucet
4280;Thisnes
4280;Trognée
4280;Villers-Le-Peuplier
4280;Wansin
4287;LINCENT
4287;Pellaines
4287;Racour
4300;Bettincourt
4300;Bleret
4300;Bovenistier
4300;Grand-Axhe
4300;Lantremange
4300;Oleye
4300;WAREMME
4317;Aineffe
4317;Borlez
4317;Celles
4317;FAIMES
4317;Les Waleffes
4317;Viemme
4340;AWANS
4340;Fooz
4340;Othée
4340;Villers-L'Evêque
4342;Hognoul
4347;FEXHE-LE-HAUT-CLOCHER
4347;Freloux
4347;Noville
4347;Roloux
4347;Voroux-Goreux
4350;Lamine
4350;Momalle
4350;Pousset
4350;REMICOURT
4351;Hodeige
4357;DONCEEL
4357;Haneffe
4357;Jeneffe
4357;Limont
4360;Bergilers
4360;Grandville
4360;Lens-Sur-Geer
4360;OREYE
4360;Otrange
4367;CRISNÉE
4367;Fize-Le-Marsal
4367;Kemexhe
4367;Odeur
4367;Thys
4400;Awirs
4400;Chokier
4400;Flémalle-Grande
4400;Flémalle-Haute
4400;Gleixhe
4400;Ivoz-Ramet
4400;Mons-Lez-Liège
4420;Montegnée
4420;SAINT-NICOLAS
4420;Tilleur
4430;ANS
4431;Loncin
4432;Alleur
4432;Xhendremael
4450;JUPRELLE
4450;Lantin
4450;Slins
4451;Voroux-Lez-Liers
4452;Paifve
4452;Wihogne
4453;Villers-Saint-Siméon
4458;Fexhe-Slins
4460;Bierset
4460;Grâce-Berleur
4460;GRÂCE-HOLLOGNE
4460;Hollogne-Aux-Pierres
4460;Horion-Hozémont
4460;Velroux
4470;SAINT-GEORGES-SUR-MEUSE
4480;Clermont-Sous-Huy
4480;Ehein
4480;ENGIS
4480;Hermalle-Sous-Huy
4500;Ben-Ahin
4500;HUY
4500;Tihange
4520;Antheit
4520;Bas-Oha
4520;Huccorgne
4520;Moha
4520;Vinalmont
4520;WANZE
4530;Fize-Fontaine
4530;Vaux-Et-Borset
4530;Vieux-Waleffe
4530;VILLERS-LE-BOUILLET
4530;Warnant-Dreye
4537;Bodegnée
4537;Chapon-Seraing
4537;Seraing-Le-Château
4537;VERLAINE
4540;AMAY
4540;Ampsin
4540;Flône
4540;Jehay
4540;Ombret
4550;NANDRIN
4550;Saint-Séverin
4550;Villers-Le-Temple
4550;Yernée-Fraineux
4557;Abée
4557;Fraiture
4557;Ramelot
4557;Seny
4557;Soheit-Tinlot
4557;TINLOT
4560;Bois-Et-Borsu
4560;CLAVIER
4560;Les Avins
4560;Ocquier
4560;Pailhe
4560;Terwagne
4570;MARCHIN
4570;Vyle-Et-Tharoul
4577;MODAVE
4577;Outrelouxhe
4577;Strée-Lez-Huy
4577;Vierset-Barse
4590;Ellemelle
4590;OUFFET
4590;Warzée
4600;Lanaye
4600;Lixhe
4600;Richelle
4600;VISÉ
4601;Argenteau
4602;Cheratte
4606;Saint-André
4607;Berneau
4607;Bombaye
4607;DALHEM
4607;Feneur
4607;Mortroux
4608;Neufchâteau
4608;Warsage
4610;Bellaire
4610;BEYNE-HEUSAY
4610;Queue-Du-Bois
4620;FLÉRON
4621;Retinne
4623;Magnée
4624;Romsée
4630;Ayeneux
4630;Micheroux
4630;SOUMAGNE
4630;Tignée
4631;Evegnée
4632;Cérexhe-Heuseux
4633;Melen
4650;Chaineux
4650;Grand-Rechain
4650;HERVE
4650;Julémont
4651;Battice
4652;Xhendelesse
4653;Bolland
4654;Charneux
4670;BLÉGNY
4670;Mortier
4670;Trembleur
4671;Barchon
4671;Housse
4671;Saive
4672;Saint-Remy
4680;Hermée
4680;OUPEYE
4681;Hermalle-Sous-Argenteau
4682;Heure-Le-Romain
4682;Houtain-Saint-Siméon
4683;Vivegnis
4684;Haccourt
4690;BASSENGE
4690;Boirs
4690;Eben-Emael
4690;Glons
4690;Roclenge-Sur-Geer
4690;Wonck
4700;EUPEN
4701;Kettenis
4710;LONTZEN
4711;Walhorn
4720;LA CALAMINE
4721;Neu-Moresnet
4728;Hergenrath
4730;Hauset
4730;RAEREN
4731;Eynatten
4750;BUTGENBACH
4750;Elsenborn
4760;BULLANGE
4760;Manderfeld
4761;Rocherath
4770;AMBLÈVE
4770;Meyerode
4771;Heppenbach
4780;Recht
4780;SAINT-VITH
4782;Schoenberg
4783;Lommersweiler
4784;Crombach
4790;Reuland
4791;Thommen
4800;Ensival
4800;Lambermont
4800;Petit-Rechain
4800;Polleur
4800;VERVIERS
4801;Stembert
4802;Heusy
4820;DISON
4821;Andrimont
4830;LIMBOURG
4831;Bilstain
4834;Goé
4837;BAELEN
4837;Membach
4840;WELKENRAEDT
4841;Henri-Chapelle
4845;JALHAY
4845;Sart-Lez-Spa
4850;Montzen
4850;Moresnet
4851;Gemmenich
4851;Sippenaeken
4852;Hombourg
4860;Cornesse
4860;PEPINSTER
4860;Wegnez
4861;Soiron
4870;Forêt
4870;Fraipont
4870;Nessonvaux
4877;OLNE
4880;AUBEL
4890;Clermont
4890;Thimister
4900;SPA
4910;La Reid
4910;Polleur
4910;THEUX
4920;AYWAILLE
4920;Ernonheid
4920;Harzé
4920;Louveigné
4920;Sougné-Remouchamps
4950;Faymonville
4950;Robertville
4950;Sourbrodt
4950;WAIMES
4960;Bellevaux-Ligneuville
4960;Bevercé
4960;MALMEDY
4970;Francorchamps
4970;STAVELOT
4980;Fosse
4980;TROIS-PONTS
4980;Wanne
4983;Basse-Bodeux
4987;Chevron
4987;La Gleize
4987;Lorcé
4987;Rahier
4987;STOUMONT
4990;Arbrefontaine
4990;Bra
4990;LIERNEUX
5000;Beez
5000;NAMUR
5001;Belgrade
5002;Saint-Servais
5003;Saint-Marc
5004;Bouge
5010;SA SUDPRESSE
5012;Parlement Wallon
5020;Champion
5020;Daussoulx
5020;Flawinne
5020;Malonne
5020;Suarlée
5020;Temploux
5020;Vedrin
5021;Boninne
5022;Cognelée
5024;Gelbressée
5024;Marche-Les-Dames
5030;Beuzet
5030;Ernage
5030;GEMBLOUX
5030;Grand-Manil
5030;Lonzée
5030;Sauvenière
5031;Grand-Leez
5032;Bossière
5032;Bothey
5032;Corroy-Le-Château
5032;Isnes
5032;Mazy
5060;Arsimont
5060;Auvelais
5060;Falisolle
5060;Keumiée
5060;Moignelée
5060;Tamines
5060;Velaine-Sur-Sambre
5070;Aisemont
5070;FOSSES-LA-VILLE
5070;Le Roux
5070;Sart-Eustache
5070;Sart-Saint-Laurent
5070;Vitrival
5080;Emines
5080;Rhisnes
5080;Villers-Lez-Heest
5080;Warisoulx
5081;Bovesse
5081;Meux
5081;Saint-Denis-Bovesse
5100;Dave
5100;Jambes
5100;Naninne
5100;Wépion
5100;Wierde
5101;Erpent
5101;Lives-Sur-Meuse
5101;Loyers
5140;Boignée
5140;Ligny
5140;SOMBREFFE
5140;Tongrinne
5150;FLOREFFE
5150;Floriffoux
5150;Franière
5150;Soye
5170;Arbre
5170;Bois-De-Villers
5170;Lesve
5170;Lustin
5170;PROFONDEVILLE
5170;Rivière
5190;Balâtre
5190;Ham-Sur-Sambre
5190;JEMEPPE-SUR-SAMBRE
5190;Mornimont
5190;Moustier-Sur-Sambre
5190;Onoz
5190;Saint-Martin
5190;Spy
5300;ANDENNE
5300;Bonneville
5300;Coutisse
5300;Landenne
5300;Maizeret
5300;Namêche
5300;Sclayn
5300;Seilles
5300;Thon
5300;Vezin
5310;Aische-En-Refail
5310;Bolinne
5310;Boneffe
5310;Branchon
5310;Dhuy
5310;EGHEZÉE
5310;Hanret
5310;Leuze
5310;Liernu
5310;Longchamps
5310;Mehaigne
5310;Noville-Sur-Méhaigne
5310;Saint-Germain
5310;Taviers
5310;Upigny
5310;Waret-La-Chaussée
5330;ASSESSE
5330;Maillen
5330;Sart-Bernard
5332;Crupet
5333;Sorinne-La-Longue
5334;Florée
5336;Courrière
5340;Faulx-Les-Tombes
5340;GESVES
5340;Haltinne
5340;Mozet
5340;Sorée
5350;Evelette
5350;OHEY
5351;Haillot
5352;Perwez-Haillot
5353;Goesnes
5354;Jallet
5360;HAMOIS
5360;Natoye
5361;Mohiville
5361;Scy
5362;Achet
5363;Emptinne
5364;Schaltin
5370;Barvaux-Condroz
5370;Flostoy
5370;HAVELANGE
5370;Jeneffe
5370;Porcheresse
5370;Verlée
5372;Méan
5374;Maffe
5376;Miécret
5377;Baillonville
5377;Bonsin
5377;Heure
5377;Hogne
5377;Nettinne
5377;Noiseux
5377;Sinsin
5377;SOMME-LEUZE
5377;Waillet
5380;Bierwart
5380;Cortil-Wodon
5380;Forville
5380;Franc-Waret
5380;Hemptinne
5380;Hingeon
5380;Marchovelette
5380;Noville-Les-Bois
5380;Pontillas
5380;Tillier
5500;Anseremme
5500;Bouvignes-Sur-Meuse
5500;DINANT
5500;Dréhance
5500;Falmagne
5500;Falmignoul
5500;Furfooz
5501;Lisogne
5502;Thynes
5503;Sorinnes
5504;Foy-Notre-Dame
5520;Anthée
5520;ONHAYE
5521;Serville
5522;Falaen
5523;Sommière
5523;Weillen
5524;Gerin
5530;Dorinne
5530;Durnal
5530;Evrehailles
5530;Godinne
5530;Houx
5530;Mont
5530;Purnode
5530;Spontin
5530;YVOIR
5537;ANHÉE
5537;Annevoie-Rouillon
5537;Bioul
5537;Denée
5537;Haut-Le-Wastia
5537;Sosoye
5537;Warnant
5540;Hastière-Lavaux
5540;Hermeton-Sur-Meuse
5540;Waulsort
